name,combo
Gibson,6-6-3
May,1-2-3
Mills,9-2-2
Adolfo,4-4-8
Alanzo,8-7-6
Antoine,3-3-6
Ethan,6-6-3
Eustace,5-6-2
Ewing,5-8-4
Fernand,6-2-8
Fisher,5-6-2
Gail,1-1-2
Harland,2-2-4
Hilary,1-9-1
Hosie,2-9-2
Lemon,2-3-5
Lora,7-3-1
Marsh,1-4-5
Newman,6-1-7
Nickolas,7-5-3
Olie,2-3-5
Pearley,2-8-1
Roman,7-9-7
Rome,2-4-6
Rowland,7-8-6
Shelly,5-4-9
Vicente,1-5-6
Weston,2-4-6
Alan,2-8-1
Alberto,3-7-1
Alexis,6-1-7
Auguste,3-1-4
Bascom,7-1-8
Cameron,3-3-6
Camille,6-4-1
Clabe,6-8-5
Cooper,8-1-9
Domingo,3-2-5
Elwin,5-4-9
Emilio,2-7-9
French,5-4-9
Gerhard,6-1-7
Hansford,7-6-4
Jarvis,1-6-7
Jobe,2-3-5
Josephus,5-9-5
Landon,7-8-6
Lennie,1-4-5
Leonidas,3-4-7
Lesley,1-5-6
Lillian,1-5-6
Linn,9-4-4
Littleton,2-8-1
Lone,2-8-1
Margarito,8-4-3
Mattie,6-8-5
Melton,2-5-7
Ott,6-4-1
Randle,6-3-9
Seaborn,3-8-2
Severt,1-7-8
Steward,6-3-9
Sylvanus,4-3-7
Theadore,8-5-4
Theophile,7-1-8
Vester,1-7-8
Wenzel,1-3-4
Alby,1-3-4
Alcee,2-6-8
Almond,7-7-5
Alvy,1-5-6
Amon,7-9-7
Ansel,6-9-6
Bayard,2-4-6
Benny,5-1-6
Bluford,9-6-6
Booker,8-4-3
Burnett,8-2-1
Burney,8-5-4
Caswell,6-6-3
Claudie,9-1-1
Conley,2-9-2
Cortez,2-4-6
Dionicio,3-3-6
Donnie,2-5-7
Eldred,1-2-3
Ell,5-6-2
Ellery,1-4-5
Ellwood,8-6-5
Elva,6-7-4
Emmit,5-1-6
Erle,1-3-4
Essex,1-8-9
